id,PClass,Age,Gender,Survived,GenderCode
1,1st,29,female,1,1
2,1st,2,female,0,1
3,1st,30,male,0,0
4,1st,25,female,0,1
5,1st,0.92,male,1,0
6,1st,47,male,1,0
7,1st,63,female,1,1
8,1st,39,male,0,0
9,1st,58,female,1,1
10,1st,71,male,0,0
11,1st,47,male,0,0
12,1st,19,female,1,1
13,1st,0,female,1,1
14,1st,0,male,1,0
15,1st,0,male,0,0
16,1st,50,female,1,1
17,1st,24,male,0,0
18,1st,36,male,0,0
19,1st,37,male,1,0
20,1st,47,female,1,1
21,1st,26,male,1,0
22,1st,25,male,0,0
23,1st,25,male,1,0
24,1st,19,female,1,1
25,1st,28,male,1,0
26,1st,45,male,0,0
27,1st,39,male,1,0
28,1st,30,female,1,1
29,1st,58,female,1,1
30,1st,0,male,0,0
31,1st,45,female,1,1
32,1st,22,female,1,1
33,1st,0,male,1,0
34,1st,41,male,0,0
35,1st,48,male,0,0
36,1st,0,male,0,0
37,1st,44,female,1,1
38,1st,59,female,1,1
39,1st,60,female,1,1
40,1st,45,male,0,0
41,1st,0,male,1,0
42,1st,53,female,1,1
43,1st,58,female,1,1
44,1st,36,male,1,0
45,1st,33,male,0,0
46,1st,0,male,0,0
47,1st,0,male,0,0
48,1st,36,male,1,0
49,1st,36,female,1,1
50,1st,14,female,1,1
51,1st,11,male,1,0
52,1st,49,male,0,0
53,1st,0,female,1,1
54,1st,36,male,0,0
55,1st,0,female,1,1
56,1st,46,male,0,0
57,1st,47,female,1,1
58,1st,27,male,1,0
59,1st,31,female,1,1
60,1st,0,female,1,1
61,1st,0,male,1,0
62,1st,0,female,1,1
63,1st,0,male,0,0
64,1st,27,male,0,0
65,1st,26,female,1,1
66,1st,0,male,0,0
67,1st,0,male,0,0
68,1st,64,female,1,1
69,1st,37,male,0,0
70,1st,39,female,1,1
71,1st,55,female,1,1
72,1st,0,male,0,0
73,1st,70,male,0,0
74,1st,69,female,1,1
75,1st,36,female,1,1
76,1st,39,male,0,0
77,1st,38,female,1,1
78,1st,0,male,1,0
79,1st,27,male,1,0
80,1st,31,male,0,0
81,1st,27,female,1,1
82,1st,0,female,1,1
83,1st,31,male,1,0
84,1st,17,female,1,1
85,1st,0,male,1,0
86,1st,0,female,1,1
87,1st,4,male,1,0
88,1st,27,female,1,1
89,1st,50,male,0,0
90,1st,48,female,1,1
91,1st,49,male,1,0
92,1st,48,female,1,1
93,1st,39,male,0,0
94,1st,23,female,1,1
95,1st,53,female,1,1
96,1st,36,female,0,1
97,1st,0,female,1,1
98,1st,0,male,1,0
99,1st,30,male,0,0
100,1st,24,female,1,1
101,1st,19,male,0,0
102,1st,28,female,1,1
103,1st,23,female,1,1
104,1st,64,male,0,0
105,1st,60,female,1,1
106,1st,0,male,0,0
107,1st,49,male,1,0
108,1st,0,female,1,1
109,1st,44,male,1,0
110,1st,22,female,1,1
111,1st,60,male,1,0
112,1st,48,female,1,1
113,1st,37,male,0,0
114,1st,35,female,1,1
115,1st,47,male,0,0
116,1st,22,female,1,1
117,1st,45,female,1,1
118,1st,49,male,1,0
119,1st,0,female,1,1
120,1st,71,male,0,0
121,1st,54,male,1,0
122,1st,38,male,0,0
123,1st,19,female,1,1
124,1st,58,female,1,1
125,1st,45,female,1,1
126,1st,23,male,1,0
127,1st,46,male,0,0
128,1st,25,male,1,0
129,1st,21,female,1,1
130,1st,48,male,1,0
131,1st,49,female,1,1
132,1st,45,male,0,0
133,1st,36,female,1,1
134,1st,0,male,1,0
135,1st,55,male,0,0
136,1st,52,female,1,1
137,1st,24,female,1,1
138,1st,0,male,0,0
139,1st,0,male,0,0
140,1st,0,male,0,0
141,1st,16,female,1,1
142,1st,44,female,1,1
143,1st,51,female,1,1
144,1st,42,male,0,0
145,1st,35,female,1,1
146,1st,35,male,1,0
147,1st,38,male,1,0
148,1st,35,female,1,1
149,1st,0,male,0,0
150,1st,50,female,0,1
151,1st,49,male,1,0
152,1st,46,male,0,0
153,1st,0,male,0,0
154,1st,58,male,0,0
155,1st,41,male,0,0
156,1st,0,female,1,1
157,1st,42,male,1,0
158,1st,40,female,1,1
159,1st,0,male,0,0
160,1st,0,female,1,1
161,1st,0,male,0,0
162,1st,42,male,0,0
163,1st,55,female,1,1
164,1st,50,female,1,1
165,1st,16,female,1,1
166,1st,0,male,0,0
167,1st,29,male,0,0
168,1st,21,female,1,1
169,1st,30,male,0,0
170,1st,15,female,1,1
171,1st,30,male,0,0
172,1st,0,male,1,0
173,1st,0,male,0,0
174,1st,0,female,1,1
175,1st,46,male,0,0
176,1st,54,male,0,0
177,1st,36,male,1,0
178,1st,28,male,0,0
179,1st,0,female,1,1
180,1st,65,male,0,0
181,1st,33,female,1,1
182,1st,44,male,0,0
183,1st,37,female,1,1
184,1st,0,male,1,0
185,1st,55,male,0,0
186,1st,47,male,0,0
187,1st,36,male,0,0
188,1st,58,male,0,0
189,1st,31,female,1,1
190,1st,23,female,1,1
191,1st,19,female,1,1
192,1st,64,male,0,0
193,1st,0,male,1,0
194,1st,64,male,0,0
195,1st,22,female,1,1
196,1st,28,male,0,0
197,1st,0,male,0,0
198,1st,0,male,0,0
199,1st,22,male,0,0
200,1st,0,male,0,0
201,1st,0,female,1,1
202,1st,18,male,0,0
203,1st,17,female,1,1
204,1st,52,male,1,0
205,1st,46,male,0,0
206,1st,56,female,1,1
207,1st,0,male,0,0
208,1st,0,male,1,0
209,1st,43,female,1,1
210,1st,31,male,0,0
211,1st,0,male,1,0
212,1st,0,male,0,0
213,1st,33,female,1,1
214,1st,0,male,0,0
215,1st,27,female,1,1
216,1st,55,male,0,0
217,1st,54,female,1,1
218,1st,0,male,0,0
219,1st,61,male,0,0
220,1st,48,female,1,1
221,1st,18,female,1,1
222,1st,13,male,1,0
223,1st,21,female,1,1
224,1st,0,male,1,0
225,1st,0,male,1,0
226,1st,0,female,1,1
227,1st,34,male,1,0
228,1st,40,female,1,1
229,1st,36,male,1,0
230,1st,50,male,0,0
231,1st,39,female,1,1
232,1st,56,male,1,0
233,1st,28,male,1,0
234,1st,56,male,0,0
235,1st,56,male,0,0
236,1st,24,male,0,0
237,1st,18,female,1,1
238,1st,0,male,0,0
239,1st,24,male,1,0
240,1st,23,female,1,1
241,1st,45,male,1,0
242,1st,40,female,1,1
243,1st,6,male,1,0
244,1st,57,male,0,0
245,1st,0,female,1,1
246,1st,32,male,1,0
247,1st,62,male,0,0
248,1st,54,male,1,0
249,1st,43,female,1,1
250,1st,52,female,1,1
251,1st,0,male,0,0
252,1st,62,female,1,1
253,1st,67,male,0,0
254,1st,63,female,0,1
255,1st,61,male,0,0
256,1st,46,female,1,1
